grdc_no,river,station,area,altitude,lat_org,long_org,lat_pp,long_pp,dist_km,area_calc,quality,type,comment,source
1104150.0,OUED CHELIF,SIDI BELATAR,43750.0,2.0,36.02,0.27,36.0187,0.2729,0.3,44326.5,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1104200.0,OUED MINA,OUED EL-ABTAL,6635.0,205.0,35.5,0.68,35.4975,0.68,0.3,5461.7,Low,Automatic,Area difference 10-50% and distance <= 5 km,merit
1104300.0,OUED GHIOU,AMMI MOUSSA,2398.0,140.0,35.87,1.12,35.86958,1.11958,0.1,1903.1,Low,Automatic,Area difference 10-50% and distance <= 5 km,merit
1104450.0,OUED MAZAFRAN,FER A CHEVAL,1912.0,10.0,36.67,2.82,36.6675,2.82,0.3,1888.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1104480.0,OUED BOU DOUAOU,KEDDARA,829.0,60.0,36.65,3.42,36.65,3.42,0.0,60.21,Medium,Manual,"Location seems correct, but GRDC area seems wrong",merit
1104500.0,OUED ISSER,LAKHDARIA,4149.0,90.0,36.62,3.58,36.62083,3.58083,0.1,3609.4,Low,Automatic,Area difference 10-50% and distance <= 5 km,merit
1104530.0,OUED SEBAOU,BAGHLIA,2501.0,20.0,36.8,3.87,36.80083,3.87167,0.2,2368.7,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1104600.0,OUED BOU SELLAM,SIDI YAHIA,4309.0,220.0,36.42,4.6,36.41583,4.59917,0.5,4047.1,Medium,Automatic,Area difference 5-10% and distance <= 5 km,merit
1104700.0,OUED RHUMEL,OUED ATHMANIA,1220.0,710.0,36.23,6.3,36.2396,6.3021,1.1,1222.1,High,Automatic,Area difference <= 5% and distance <= 5 km,hydrosheds
1104800.0,OUED EL MELAH,BOUCHEGOUF,552.0,95.0,36.45,7.72,36.45167,7.71833,0.2,550.33,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1107700.0,OUED TAFNA,PIERRE DU CHAT,7245.0,60.0,35.15,-1.45,35.14583,-1.44667,0.6,7426.5,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1107800.0,OUED ISSER,BENSEKRANE,1118.0,287.0,35.07,-1.22,35.075,-1.22,0.6,1245.9,Low,Automatic,Area difference 10-50% and distance <= 5 km,merit
1112100.0,SENEGAL FLEUVE,KAYES,157400.0,20.0,14.45,-11.28,14.4396,-11.2812,1.2,101578.2,Low,Automatic,Area difference 10-50% and distance <= 5 km,hydrosheds
1112110.0,KOLINBINE,KABATE,25000.0,-999.0,14.4943,-11.2024,14.498,-11.208,0.7,95672.0,Medium,Manual,"Location seems correct, but GRDC area seems wrong",merit
1112200.0,FALEME RIVIERE,GOURBASSY,15000.0,-999.0,13.2521,-11.5229,13.2525,-11.52333,0.1,14769.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1112300.0,SENEGAL FLEUVE,GALOUGO,127000.0,69.0,13.8479,-11.0562,13.84833,-11.05583,0.1,143080.0,Low,Automatic,Area difference 10-50% and distance <= 5 km,merit
1112320.0,BAKOYE,OUALIA,84400.0,-999.0,13.5979,-10.3729,13.5975,-10.37333,0.1,98801.0,Low,Automatic,Area difference 10-50% and distance <= 5 km,merit
1112330.0,BAOULE,SIRAMAKANA,58000.0,-999.0,13.5724,-9.8854,13.5729,-9.8854,0.1,73543.4,Low,Automatic,Area difference 10-50% and distance <= 5 km,hydrosheds
1112340.0,BAKOYE,TOUKOTO,16000.0,-999.0,13.45,-9.88,13.455,-9.885,0.8,16514.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1112350.0,BAFING,DIBIA,33000.0,-999.0,13.2271,-10.7938,13.22667,-10.79333,0.1,33935.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
1112400.0,FALEME RIVIERE,FADOUGOU,9300.0,-999.0,12.5354,-11.3854,12.53583,-11.38667,0.1,8216.8,Low,Automatic,Area difference 10-50% and distance <= 5 km,merit
1112480.0,BAFING,DAKA SAYDOU,15500.0,-999.0,11.9271,-10.6354,11.92667,-10.63333,0.2,15689.0,High,Automatic,Area difference <= 5% and distance <= 5 km,merit
